ScheduleNumber,ParcelNumber,Address,Owner,Legal,Subdivision
R1121952,97232-25-009,,,,
R1121979,97232-25-010,,,,
R1122177,97232-26-007,,,,
R1122002,97232-25-013,,,,
R1122223,97232-26-012,,,,
R1122258,97232-26-015,,,,
R1122266,97232-26-016,,,,
R0182451,97222-06-002,,,,
R0182575,97222-06-013,,,,
R0182591,97222-06-015,,,,
R0182605,97222-06-016,,,,
R0672025,97221-13-025,,,,
R0672033,97221-13-026,,,,
R0672017,97221-13-024,,,,
R0672041,97221-13-027,,,,
R0672009,97221-13-023,,,,
R0672050,97221-13-028,,,,
R0671991,97221-13-022,,,,
R0672068,97221-13-029,,,,
R0672076,97221-13-030,,,,
R0672084,97221-13-031,,,,
R0672521,97221-13-071,,,,
R0672092,97221-13-032,,,,
R0672513,97221-13-070,,,,
R0672106,97221-13-033,,,,
R0672505,97221-13-069,,,,
R0672114,97221-13-034,,,,
R0672491,97221-13-068,,,,
R0672122,97221-13-035,,,,
R0672483,97221-13-067,,,,
R0672149,97221-13-036,,,,
R0672475,97221-13-066,,,,
R0672157,97221-13-037,,,,
R0672467,97221-13-065,,,,
R0672165,97221-13-038,,,,
R0672459,97221-13-064,,,,
R0672173,97221-13-039,,,,
R0672351,97221-13-055,,,,
R0672360,97221-13-056,,,,
R0672416,97222-21-061,,,,
R0672378,97221-13-057,,,,
R0672408,97222-21-060,,,,
R0672386,97222-21-058,,,,
R0672394,97222-21-059,,,,
R0181684,97221-05-007,,,,
R0181692,97221-05-008,,,,
R0181706,97221-05-009,,,,
R0181749,97221-05-012,,,,
R0181765,97221-05-014,,,,
R0181773,97221-05-015,,,,
